id,spoilerType
0,passage
1,passage
2,phrase
3,phrase
4,passage
5,phrase
6,passage
7,passage
8,phrase
9,passage
10,passage
11,passage
12,phrase
13,passage
14,passage
15,passage
16,passage
17,phrase
18,phrase
19,passage
20,phrase
21,passage
22,phrase
23,phrase
24,passage
25,phrase
26,passage
27,passage
28,passage
29,passage
30,phrase
31,passage
32,passage
33,phrase
34,phrase
35,phrase
36,passage
37,phrase
38,passage
39,phrase
40,passage
41,passage
42,passage
43,passage
44,passage
45,passage
46,passage
47,passage
48,phrase
49,passage
50,phrase
51,phrase
52,passage
53,passage
54,phrase
55,passage
56,phrase
57,phrase
58,passage
59,phrase
60,passage
61,passage
62,passage
63,phrase
64,passage
65,passage
66,passage
67,passage
68,phrase
69,phrase
70,passage
71,passage
72,passage
73,phrase
74,phrase
75,phrase
76,passage
77,phrase
78,phrase
79,phrase
80,passage
81,passage
82,phrase
83,phrase
84,passage
85,passage
86,phrase
87,passage
88,passage
89,passage
90,passage
91,passage
92,phrase
93,passage
94,passage
95,phrase
96,passage
97,phrase
98,phrase
99,passage
100,phrase
101,phrase
102,passage
103,passage
104,passage
105,passage
106,phrase
107,passage
108,passage
109,passage
110,passage
111,passage
112,passage
113,passage
114,phrase
115,passage
116,phrase
117,passage
118,passage
119,phrase
120,passage
121,phrase
122,phrase
123,passage
124,passage
125,phrase
126,passage
127,passage
128,passage
129,phrase
130,phrase
131,passage
132,passage
133,passage
134,passage
135,passage
136,passage
137,passage
138,passage
139,passage
140,phrase
141,passage
142,phrase
143,passage
144,passage
145,passage
146,passage
147,passage
148,passage
149,phrase
150,passage
151,phrase
152,phrase
153,passage
154,passage
155,passage
156,passage
157,phrase
158,passage
159,phrase
160,phrase
161,passage
162,passage
163,passage
164,passage
165,passage
166,passage
167,passage
168,passage
169,passage
170,passage
171,passage
172,phrase
173,passage
174,phrase
175,phrase
176,passage
177,passage
178,passage
179,passage
180,passage
181,phrase
182,passage
183,passage
184,phrase
185,passage
186,passage
187,passage
188,phrase
189,passage
190,phrase
191,passage
192,passage
193,passage
194,passage
195,phrase
196,phrase
197,phrase
198,phrase
199,phrase
200,passage
201,passage
202,passage
203,passage
204,passage
205,passage
206,passage
207,passage
208,phrase
209,passage
210,passage
211,phrase
212,passage
213,passage
214,passage
215,passage
216,passage
217,phrase
218,phrase
219,phrase
220,passage
221,passage
222,passage
223,passage
224,passage
225,phrase
226,passage
227,phrase
228,phrase
229,passage
230,phrase
231,passage
232,passage
233,phrase
234,phrase
235,phrase
236,passage
237,passage
238,passage
239,passage
240,passage
241,passage
242,passage
243,passage
244,passage
245,passage
246,passage
247,passage
248,passage
249,passage
250,passage
251,phrase
252,phrase
253,passage
254,passage
255,phrase
256,passage
257,passage
258,phrase
259,passage
260,passage
261,passage
262,phrase
263,phrase
264,passage
265,passage
266,passage
267,passage
268,passage
269,passage
270,passage
271,passage
272,passage
273,passage
274,passage
275,phrase
276,passage
277,passage
278,passage
279,passage
280,passage
281,passage
282,passage
283,phrase
284,phrase
285,passage
286,phrase
287,passage
288,phrase
289,phrase
290,phrase
291,passage
292,phrase
293,passage
294,passage
295,phrase
296,passage
297,passage
298,phrase
299,phrase
300,passage
301,phrase
302,passage
303,passage
304,passage
305,passage
306,phrase
307,passage
308,phrase
309,passage
310,phrase
311,passage
312,passage
313,passage
314,phrase
315,passage
316,phrase
317,passage
318,phrase
319,passage
320,passage
321,phrase
322,phrase
323,phrase
324,passage
325,passage
326,passage
327,phrase
328,passage
329,phrase
330,phrase
331,passage
332,passage
333,passage
334,phrase
335,passage
336,phrase
337,passage
338,phrase
339,passage
340,passage
341,passage
342,passage
343,phrase
344,passage
345,passage
346,passage
347,phrase
348,passage
349,passage
350,phrase
351,passage
352,passage
353,passage
354,passage
355,passage
356,phrase
357,passage
358,passage
359,passage
360,phrase
361,passage
362,passage
363,passage
364,phrase
365,passage
366,passage
367,passage
368,phrase
369,passage
370,phrase
371,passage
372,passage
373,passage
374,passage
375,passage
376,phrase
377,passage
378,passage
379,phrase
380,passage
381,passage
382,passage
383,passage
384,passage
385,passage
386,passage
387,phrase
388,phrase
389,passage
390,phrase
391,passage
392,passage
393,phrase
394,passage
395,passage
396,phrase
397,passage
398,passage
399,phrase
