id,spoilerType
0,passage
1,passage
2,passage
3,phrase
4,phrase
5,phrase
6,passage
7,passage
8,phrase
9,phrase
10,passage
11,passage
12,phrase
13,passage
14,phrase
15,phrase
16,passage
17,phrase
18,passage
19,passage
20,phrase
21,passage
22,phrase
23,phrase
24,passage
25,phrase
26,passage
27,passage
28,phrase
29,passage
30,phrase
31,phrase
32,passage
33,passage
34,phrase
35,passage
36,phrase
37,passage
38,phrase
39,phrase
40,passage
41,phrase
42,phrase
43,phrase
44,phrase
45,passage
46,passage
47,phrase
48,phrase
49,passage
50,phrase
51,passage
52,phrase
53,phrase
54,phrase
55,passage
56,phrase
57,passage
58,passage
59,phrase
60,phrase
61,passage
62,passage
63,passage
64,passage
65,passage
66,phrase
67,passage
68,phrase
69,phrase
70,phrase
71,passage
72,phrase
73,phrase
74,passage
75,phrase
76,passage
77,phrase
78,phrase
79,passage
80,phrase
81,phrase
82,phrase
83,passage
84,passage
85,passage
86,phrase
87,phrase
88,phrase
89,phrase
90,passage
91,phrase
92,passage
93,phrase
94,phrase
95,phrase
96,passage
97,passage
98,phrase
99,phrase
100,phrase
101,phrase
102,phrase
103,phrase
104,passage
105,passage
106,phrase
107,phrase
108,passage
109,phrase
110,passage
111,phrase
112,passage
113,passage
114,phrase
115,phrase
116,phrase
117,passage
118,phrase
119,phrase
120,passage
121,passage
122,phrase
123,passage
124,phrase
125,phrase
126,phrase
127,passage
128,phrase
129,phrase
130,passage
131,phrase
132,passage
133,phrase
134,passage
135,passage
136,phrase
137,phrase
138,passage
139,passage
140,phrase
141,phrase
142,phrase
143,passage
144,phrase
145,passage
146,passage
147,phrase
148,phrase
149,phrase
150,passage
151,phrase
152,passage
153,passage
154,phrase
155,passage
156,passage
157,passage
158,passage
159,phrase
160,phrase
161,passage
162,passage
163,phrase
164,passage
165,passage
166,phrase
167,phrase
168,passage
169,passage
170,phrase
171,phrase
172,phrase
173,phrase
174,passage
175,phrase
176,passage
177,passage
178,passage
179,passage
180,passage
181,phrase
182,passage
183,phrase
184,phrase
185,passage
186,passage
187,phrase
188,phrase
189,passage
190,phrase
191,phrase
192,passage
193,phrase
194,phrase
195,passage
196,phrase
197,phrase
198,phrase
199,passage
200,passage
201,phrase
202,passage
203,passage
204,phrase
205,phrase
206,passage
207,passage
208,phrase
209,passage
210,passage
211,phrase
212,phrase
213,passage
214,passage
215,phrase
216,passage
217,phrase
218,phrase
219,phrase
220,passage
221,passage
222,passage
223,phrase
224,passage
225,passage
226,passage
227,passage
228,phrase
229,passage
230,phrase
231,passage
232,phrase
233,phrase
234,passage
235,phrase
236,passage
237,passage
238,phrase
239,phrase
240,phrase
241,passage
242,phrase
243,phrase
244,phrase
245,passage
246,phrase
247,phrase
248,passage
249,phrase
250,passage
251,phrase
252,phrase
253,passage
254,passage
255,passage
256,phrase
257,passage
258,passage
259,passage
260,phrase
261,passage
262,passage
263,passage
264,phrase
265,passage
266,phrase
267,passage
268,passage
269,phrase
270,phrase
271,passage
272,phrase
273,phrase
274,passage
275,passage
276,phrase
277,passage
278,passage
279,phrase
280,passage
281,passage
282,passage
283,phrase
284,phrase
285,passage
286,passage
287,phrase
288,passage
289,phrase
290,phrase
291,passage
292,phrase
293,phrase
294,phrase
295,phrase
296,passage
297,passage
298,phrase
299,passage
300,phrase
301,phrase
302,passage
303,passage
304,phrase
305,phrase
306,phrase
307,passage
308,phrase
309,phrase
310,passage
311,passage
312,phrase
313,passage
314,phrase
315,passage
316,passage
317,passage
318,phrase
319,phrase
320,passage
321,passage
322,phrase
323,passage
324,passage
325,phrase
326,phrase
327,passage
328,passage
329,phrase
330,phrase
331,passage
332,phrase
333,phrase
334,phrase
335,passage
336,phrase
337,passage
338,phrase
339,passage
340,phrase
341,passage
342,passage
343,phrase
344,passage
345,passage
346,passage
347,phrase
348,passage
349,passage
350,passage
351,passage
352,phrase
353,phrase
354,passage
355,phrase
356,phrase
357,passage
358,passage
359,phrase
360,phrase
361,passage
362,passage
363,passage
364,phrase
365,passage
366,phrase
367,phrase
368,passage
369,phrase
370,phrase
371,phrase
372,phrase
373,passage
374,passage
375,phrase
376,phrase
377,passage
378,phrase
379,phrase
380,passage
381,passage
382,phrase
383,passage
384,passage
385,passage
386,phrase
387,phrase
388,passage
389,phrase
390,phrase
391,passage
392,phrase
393,passage
394,passage
395,phrase
396,phrase
397,passage
398,phrase
399,passage
