id,spoilerType
0,passage
1,passage
2,passage
3,passage
4,passage
5,passage
6,passage
7,passage
8,phrase
9,passage
10,passage
11,passage
12,phrase
13,passage
14,passage
15,phrase
16,passage
17,phrase
18,passage
19,phrase
20,phrase
21,passage
22,passage
23,passage
24,passage
25,passage
26,passage
27,phrase
28,passage
29,passage
30,phrase
31,passage
32,phrase
33,passage
34,passage
35,passage
36,passage
37,passage
38,passage
39,phrase
40,phrase
41,passage
42,passage
43,phrase
44,passage
45,passage
46,passage
47,passage
48,passage
49,passage
50,passage
51,passage
52,passage
53,passage
54,passage
55,passage
56,phrase
57,passage
58,passage
59,passage
60,passage
61,passage
62,phrase
63,passage
64,passage
65,passage
66,passage
67,passage
68,passage
69,phrase
70,passage
71,passage
72,passage
73,phrase
74,passage
75,passage
76,phrase
77,passage
78,passage
79,passage
80,passage
81,passage
82,passage
83,passage
84,passage
85,passage
86,passage
87,passage
88,passage
89,phrase
90,passage
91,passage
92,passage
93,passage
94,passage
95,phrase
96,phrase
97,passage
98,passage
99,passage
100,passage
101,passage
102,passage
103,passage
104,passage
105,passage
106,passage
107,passage
108,passage
109,passage
110,passage
111,passage
112,passage
113,passage
114,phrase
115,passage
116,passage
117,passage
118,passage
119,phrase
120,passage
121,passage
122,phrase
123,phrase
124,passage
125,passage
126,passage
127,phrase
128,passage
129,phrase
130,phrase
131,passage
132,passage
133,passage
134,passage
135,passage
136,passage
137,passage
138,phrase
139,passage
140,passage
141,phrase
142,passage
143,passage
144,passage
145,passage
146,passage
147,passage
148,passage
149,phrase
150,passage
151,passage
152,phrase
153,passage
154,passage
155,passage
156,passage
157,passage
158,passage
159,passage
160,passage
161,passage
162,passage
163,passage
164,passage
165,passage
166,passage
167,passage
168,passage
169,passage
170,passage
171,phrase
172,passage
173,passage
174,phrase
175,passage
176,passage
177,passage
178,passage
179,passage
180,passage
181,passage
182,passage
183,passage
184,passage
185,passage
186,passage
187,passage
188,passage
189,passage
190,passage
191,passage
192,passage
193,passage
194,passage
195,passage
196,passage
197,passage
198,passage
199,passage
200,passage
201,passage
202,passage
203,passage
204,passage
205,passage
206,phrase
207,passage
208,phrase
209,passage
210,phrase
211,phrase
212,passage
213,passage
214,passage
215,passage
216,passage
217,passage
218,passage
219,phrase
220,passage
221,passage
222,phrase
223,passage
224,passage
225,passage
226,passage
227,passage
228,passage
229,passage
230,passage
231,passage
232,passage
233,passage
234,passage
235,passage
236,passage
237,passage
238,passage
239,passage
240,passage
241,phrase
242,passage
243,passage
244,passage
245,passage
246,passage
247,passage
248,passage
249,passage
250,passage
251,passage
252,phrase
253,passage
254,passage
255,phrase
256,passage
257,passage
258,passage
259,passage
260,passage
261,passage
262,passage
263,passage
264,phrase
265,passage
266,phrase
267,passage
268,passage
269,passage
270,passage
271,passage
272,passage
273,passage
274,passage
275,passage
276,passage
277,passage
278,passage
279,passage
280,passage
281,passage
282,passage
283,passage
284,phrase
285,passage
286,passage
287,passage
288,passage
289,phrase
290,phrase
291,passage
292,passage
293,passage
294,passage
295,passage
296,passage
297,passage
298,passage
299,passage
300,passage
301,passage
302,phrase
303,passage
304,passage
305,passage
306,phrase
307,passage
308,passage
309,passage
310,passage
311,passage
312,passage
313,passage
314,passage
315,passage
316,passage
317,passage
318,passage
319,passage
320,phrase
321,phrase
322,passage
323,passage
324,passage
325,passage
326,passage
327,passage
328,passage
329,passage
330,passage
331,passage
332,passage
333,passage
334,phrase
335,passage
336,passage
337,passage
338,passage
339,phrase
340,passage
341,passage
342,passage
343,phrase
344,passage
345,passage
346,passage
347,passage
348,passage
349,passage
350,passage
351,passage
352,passage
353,passage
354,passage
355,passage
356,phrase
357,passage
358,passage
359,passage
360,passage
361,passage
362,passage
363,passage
364,phrase
365,passage
366,passage
367,passage
368,passage
369,passage
370,passage
371,passage
372,passage
373,passage
374,passage
375,passage
376,passage
377,passage
378,passage
379,phrase
380,passage
381,passage
382,passage
383,passage
384,passage
385,passage
386,passage
387,passage
388,passage
389,passage
390,passage
391,passage
392,passage
393,passage
394,passage
395,passage
396,passage
397,passage
398,passage
399,passage
