id,spoilerType
0,phrase
1,multi
2,phrase
3,phrase
4,passage
5,phrase
6,multi
7,passage
8,phrase
9,phrase
10,passage
11,passage
12,phrase
13,passage
14,passage
15,phrase
16,passage
17,passage
18,multi
19,passage
20,phrase
21,passage
22,phrase
23,phrase
24,phrase
25,passage
26,phrase
27,passage
28,passage
29,passage
30,phrase
31,passage
32,passage
33,phrase
34,phrase
35,phrase
36,phrase
37,phrase
38,passage
39,passage
40,phrase
41,passage
42,passage
43,phrase
44,passage
45,phrase
46,passage
47,phrase
48,phrase
49,passage
50,passage
51,phrase
52,phrase
53,multi
54,passage
55,passage
56,phrase
57,phrase
58,phrase
59,phrase
60,passage
61,passage
62,passage
63,phrase
64,passage
65,passage
66,passage
67,phrase
68,phrase
69,phrase
70,passage
71,passage
72,passage
73,phrase
74,passage
75,passage
76,passage
77,phrase
78,phrase
79,phrase
80,phrase
81,passage
82,phrase
83,passage
84,multi
85,passage
86,phrase
87,phrase
88,passage
89,phrase
90,phrase
91,passage
92,phrase
93,phrase
94,phrase
95,phrase
96,passage
97,phrase
98,passage
99,passage
100,phrase
101,phrase
102,passage
103,phrase
104,passage
105,multi
106,phrase
107,passage
108,multi
109,passage
110,phrase
111,passage
112,passage
113,phrase
114,passage
115,phrase
116,phrase
117,phrase
118,passage
119,phrase
120,multi
121,phrase
122,phrase
123,passage
124,passage
125,phrase
126,phrase
127,passage
128,passage
129,phrase
130,phrase
131,passage
132,phrase
133,phrase
134,phrase
135,passage
136,passage
137,phrase
138,multi
139,passage
140,phrase
141,passage
142,phrase
143,passage
144,passage
145,passage
146,phrase
147,phrase
148,phrase
149,phrase
150,passage
151,passage
152,phrase
153,phrase
154,passage
155,phrase
156,multi
157,phrase
158,multi
159,phrase
160,phrase
161,passage
162,passage
163,passage
164,phrase
165,passage
166,passage
167,passage
168,passage
169,passage
170,passage
171,phrase
172,phrase
173,passage
174,passage
175,phrase
176,passage
177,phrase
178,multi
179,passage
180,passage
181,phrase
182,passage
183,multi
184,phrase
185,phrase
186,passage
187,passage
188,phrase
189,passage
190,phrase
191,phrase
192,passage
193,passage
194,phrase
195,passage
196,passage
197,phrase
198,phrase
199,phrase
200,passage
201,passage
202,passage
203,passage
204,passage
205,passage
206,phrase
207,multi
208,phrase
209,passage
210,passage
211,passage
212,passage
213,phrase
214,passage
215,passage
216,passage
217,phrase
218,phrase
219,phrase
220,passage
221,passage
222,passage
223,passage
224,passage
225,phrase
226,phrase
227,phrase
228,phrase
229,passage
230,phrase
231,passage
232,phrase
233,phrase
234,passage
235,phrase
236,passage
237,phrase
238,passage
239,phrase
240,passage
241,passage
242,multi
243,passage
244,phrase
245,passage
246,phrase
247,passage
248,passage
249,passage
250,passage
251,passage
252,phrase
253,passage
254,passage
255,phrase
256,passage
257,multi
258,phrase
259,passage
260,phrase
261,multi
262,phrase
263,phrase
264,passage
265,passage
266,phrase
267,passage
268,passage
269,phrase
270,passage
271,passage
272,phrase
273,passage
274,multi
275,phrase
276,passage
277,phrase
278,passage
279,phrase
280,multi
281,passage
282,phrase
283,phrase
284,phrase
285,phrase
286,passage
287,phrase
288,phrase
289,phrase
290,phrase
291,passage
292,phrase
293,passage
294,passage
295,passage
296,passage
297,multi
298,phrase
299,passage
300,phrase
301,phrase
302,phrase
303,passage
304,multi
305,passage
306,phrase
307,multi
308,phrase
309,passage
310,passage
311,passage
312,phrase
313,passage
314,phrase
315,passage
316,phrase
317,passage
318,phrase
319,passage
320,phrase
321,phrase
322,phrase
323,passage
324,passage
325,passage
326,phrase
327,phrase
328,passage
329,phrase
330,passage
331,passage
332,passage
333,passage
334,phrase
335,passage
336,passage
337,phrase
338,passage
339,passage
340,passage
341,passage
342,phrase
343,phrase
344,passage
345,passage
346,phrase
347,passage
348,passage
349,phrase
350,phrase
351,passage
352,phrase
353,multi
354,passage
355,passage
356,phrase
357,phrase
358,phrase
359,phrase
360,phrase
361,passage
362,phrase
363,passage
364,phrase
365,multi
366,phrase
367,phrase
368,phrase
369,multi
370,phrase
371,passage
372,passage
373,passage
374,phrase
375,passage
376,passage
377,phrase
378,passage
379,phrase
380,passage
381,phrase
382,phrase
383,passage
384,passage
385,passage
386,multi
387,phrase
388,passage
389,passage
390,phrase
391,phrase
392,passage
393,passage
394,passage
395,passage
396,phrase
397,passage
398,passage
399,phrase
